Team,Opp,Spread,Total
Miami (FL),Wake Forest,-21,55.5
Wake Forest,Miami (FL),21,55.5
Houston,Texas Tech,7.5,51.5
Texas Tech,Houston,-7.5,51.5
Coastal Carolina,Delaware,4.5,50.5
Delaware,Coastal Carolina,-4.5,50.5
Georgia,Arkansas,-24.5,44.5
Arkansas,Georgia,24.5,44.5
North Carolina,Clemson,3.5,59.5
Clemson,North Carolina,-3.5,59.5
Kansas,Arizona State,5.5,49.5
Arizona State,Kansas,-5.5,49.5
Kent State,Ohio State,52.5,51.5
Ohio State,Kent State,-52.5,51.5
Bowling Green,Iowa State,23.5,49.5
Iowa State,Bowling Green,-23.5,49.5
Eastern Michigan,Wisconsin,23.5,56.5
Wisconsin,Eastern Michigan,-23.5,56.5
Tulane,Kansas State,20.5,49.5
Kansas State,Tulane,-20.5,49.5
Akron,Minnesota,23.5,47.5
Minnesota,Akron,-23.5,47.5
North Texas,Texas State,3,54.5
Texas State,North Texas,-3,54.5
Buffalo,Penn State,41.5,48.5
Penn State,Buffalo,-41.5,48.5
North Carolina State,Vanderbilt,3,51.5
Vanderbilt,North Carolina State,-3,51.5
Wyoming,Central Michigan,1.5,55.5
Central Michigan,Wyoming,-1.5,55.5
Temple,Toledo,6,57.5
Toledo,Temple,-6,57.5
Kentucky,Texas A&M,16.5,50.5
Texas A&M,Kentucky,-16.5,50.5
SMU,Louisville,1.5,54.5
Louisville,SMU,-1.5,54.5
Florida State,Alabama,19.5,55.5
Alabama,Florida State,-19.5,55.5
USC,Rutgers,-23.5,56.5
Rutgers,USC,23.5,56.5
Utah State,Utah,27.5,52.5
Utah,Utah State,-27.5,52.5
Miami (OH),Cincinnati,14.5,55.5
Cincinnati,Miami (OH),-14.5,55.5
UTEP,Michigan,35.5,54.5
Michigan,UTEP,-35.5,54.5
Western Kentucky,Indiana,44.5,64.5
Indiana,Western Kentucky,-44.5,64.5
Stanford,Duke,9.5,56.5
Duke,Stanford,-9.5,56.5
Louisiana Tech,Baylor,19.5,53.5
Baylor,Louisiana Tech,-19.5,53.5
Ball State,Liberty,14,54.5
Liberty,Ball State,-14,54.5
Mississippi State,South Carolina,4,47.5
South Carolina,Mississippi State,-4,47.5
Charlotte,Appalachian State,17.5,51.5
Appalachian State,Charlotte,-17.5,51.5
Florida International,Florida Atlantic,7,55.5
Florida Atlantic,Florida International,-7,55.5
East Carolina,Old Dominion,3,51.5
Old Dominion,East Carolina,-3,51.5
Marshall,Missouri State,-4.5,49.5
Missouri State,Marshall,4.5,49.5
Florida,Auburn,-2.5,51.5
Auburn,Florida,2.5,51.5
Troy,Missouri,26.5,54.5
Missouri,Troy,-26.5,54.5
Georgia State,UCF,17.5,53.5
UCF,Georgia State,-17.5,53.5
Western Michigan,Rice,-9.5,47.5
Rice,Western Michigan,9.5,47.5
Connecticut,Southern Mississippi,-3,55.5
Southern Mississippi,Connecticut,3,55.5
Ohio,South Alabama,7,41.5
South Alabama,Ohio,-7,41.5
Nevada,Middle Tennessee State,-3.5,55.5
Middle Tennessee State,Nevada,3.5,55.5
LSU,Ole Miss,-3,51.5
Ole Miss,LSU,3,51.5
Michigan State,Notre Dame,29.5,59.5
Notre Dame,Michigan State,-29.5,59.5
New Mexico,Oklahoma,22.5,54.5
Oklahoma,New Mexico,-22.5,54.5
Virginia,West Virginia,-10,61.5
West Virginia,Virginia,10,61.5
BYU,Colorado State,-17.5,56.5
Colorado State,BYU,17.5,56.5
Virginia Tech,Maryland,-3,60.5
Maryland,Virginia Tech,3,60.5
Colorado,Northwestern,3.5,50.5
Northwestern,Colorado,-3.5,50.5
Kennesaw State,Tennessee,35.5,50.5
Tennessee,Kennesaw State,-35.5,50.5
UTSA,Texas,30.5,50.5
Texas,UTSA,-30.5,50.5
Arkansas State,TCU,20.5,50.5
TCU,Arkansas State,-20.5,50.5
UAB,Louisiana,7.5,50.5
Louisiana,UAB,-7.5,50.5
James Madison,San Diego State,2.5,50.5
San Diego State,James Madison,-2.5,50.5
Northern Illinois,Arizona,33.5,50.5
Arizona,Northern Illinois,-33.5,50.5
Purdue,UCLA,14,50.5
UCLA,Purdue,-14,50.5
Fresno State,San Jose State,-6.5,50.5
San Jose State,Fresno State,6.5,50.5
