Rank,School,Conference USA,record,O-W%,SOS
#103,Hawai'i,Mountain West,2-Jan,51.7%(15-14),28
#104,Army,The American,1-Jan,56.5%(13-10),27.5
#104,Southern Miss,Sun Belt,1-Jan,59.1%(13-9),27.5
#106,Memphis,The American,1-Feb,43.5%(10-13),25.8
#107,San José State,Mountain West,1-Feb,55.2%(16-13),25
#108,Eastern Michigan,MAC,2-Jan,58.3%(14-10),24.8
#109,Central Michigan,MAC,1-Jan,54.2%(13-11),22.3
#111,Delaware,Conference USA,1-Jan,50.0%(12-12),18
#111,New Mexico,Mountain West,1-Feb,51.9%(14-13),18
#113,Nevada,Mountain West,1-Jan,53.8%(14-12),17.5
#113,Marshall,Sun Belt,1-Jan,63.6%(14-8),17.5
#115,Air Force,Mountain West,1-Jan,56.0%(14-11),15.8
#116,Western Michigan,MAC,1-Jan,47.8%(11-12),15
#117,Troy,Sun Belt,1-Feb,45.5%(10-12),14.8
#117,UL Monroe,Sun Belt,0-2,63.6%(14-8),14.8
#119,Toledo,MAC,1-Jan,50.0%(12-12),14.5
#120,App State,Sun Belt,1-Feb,45.5%(10-12),14.3
#120,James Madison,Sun Belt,1-Feb,63.6%(14-8),14.3
#122,South Alabama,Sun Belt,1-Jan,54.5%(12-10),13.3
#123,Arkansas State,Sun Belt,1-Jan,56.5%(13-10),11.3
#124,Wyoming,Mountain West,1-Jan,57.7%(15-11),10.5
#125,Sam Houston,Conference USA,0-2,54.2%(13-11),9.5
#127,Louisiana,Sun Belt,1-Jan,56.5%(13-10),4.8
#128,Buffalo,MAC,1-Jan,55.0%(11-9),4
#129,Sacramento State,MAC,2-Jan,52.0%(13-12),1.8
#130,Middle Tennessee,Conference USA,1-Jan,37.5%(9-15),1
#131,Ohio,MAC,1-Jan,48.0%(12-13),0.8
#132,South Florida,The American,1-Feb,47.8%(11-12),-1.8
#133,New Mexico State,Conference USA,2-Jan,41.7%(10-14),-2.3
#134,North Dakota State,Mountain West,1-Mar,44.4%(12-15),-5.5
#135,Florida International,Conference USA,1-Jan,45.8%(11-13),-7.5
#136,Massachusetts,MAC,1-Feb,36.4%(8-14),-8.3
#137,Jacksonville State,Conference USA,2-Jan,45.8%(11-13),-12.3
#138,Liberty,Conference USA,1-Jan,43.5%(10-13),-16.3
NR,Michigan State,Big Ten,1-Feb,66.7%(16-8),0
NR,Kennesaw State,Conference USA,1-Jan,47.8%(11-12),0
NR,Fresno State,Pac-12,1-Jan,44.0%(11-14),0
NR,Georgia State,Sun Belt,1-Feb,54.5%(12-10),0
