Team,Opp,Spread,Total
Army,Temple,-3,47.5
Temple,Army,3,47.5
Navy,UAB,-6.5,51.5
UAB,Navy,6.5,51.5
Northwestern,Indiana,20.5,49.5
Indiana,Northwestern,-20.5,49.5
Clemson,California,-1.5,50.5
California,Clemson,1.5,50.5
Texas,Tennessee,-4.5,54.5
Tennessee,Texas,4.5,54.5
Wake Forest,Louisville,13.5,57.5
Louisville,Wake Forest,-13.5,57.5
Illinois,Ohio State,27.5,53.5
Ohio State,Illinois,-27.5,53.5
Virginia Tech,Boston College,-14,47.5
Boston College,Virginia Tech,14,47.5
Colorado,Baylor,9.5,55.5
Baylor,Colorado,-9.5,55.5
Nevada-Las Vegas,Akron,-13.5,52.5
Akron,Nevada-Las Vegas,13.5,52.5
Sam Houston,Texas Tech,34.5,55.5
Texas Tech,Sam Houston,-34.5,55.5
Colorado State,UTSA,14,56.5
UTSA,Colorado State,-14,56.5
San Diego State,Toledo,3,51.5
Toledo,San Diego State,-3,51.5
Ball State,Kent State,3,50.5
Kent State,Ball State,-3,50.5
South Alabama,Kentucky,20.5,54.5
Kentucky,South Alabama,-20.5,54.5
UCLA,Maryland,-1.5,56.5
Maryland,UCLA,1.5,56.5
Notre Dame,Purdue,-27.5,58.5
Purdue,Notre Dame,27.5,58.5
Northern Illinois,Georgia State,10.5,56.5
Georgia State,Northern Illinois,-10.5,56.5
Hawaii,Wyoming,-2.5,43.5
Wyoming,Hawaii,2.5,43.5
Ole Miss,Florida,3.5,59.5
Florida,Ole Miss,-3.5,59.5
Oklahoma,Georgia,13.5,44.5
Georgia,Oklahoma,-13.5,44.5
Iowa,Michigan,5.5,38.5
Michigan,Iowa,-5.5,38.5
Utah,Iowa State,-7.5,47.5
Iowa State,Utah,7.5,47.5
Boise State,Western Michigan,-7,49.5
Western Michigan,Boise State,7,49.5
New Mexico,New Mexico State,-11.5,48.5
New Mexico State,New Mexico,11.5,48.5
TCU,UCF,-3,48.5
UCF,TCU,3,48.5
Connecticut,Miami (OH),3.5,51.5
Miami (OH),Connecticut,-3.5,51.5
Houston,Georgia Southern,-17.5,56.5
Georgia Southern,Houston,17.5,56.5
Vanderbilt,Auburn,9.5,55.5
Auburn,Vanderbilt,-9.5,55.5
Wisconsin,Penn State,10,44.5
Penn State,Wisconsin,-10,44.5
Nebraska,Michigan State,-5.5,48.5
Michigan State,Nebraska,5.5,48.5
South Florida,Bowling Green,-17.5,49.5
Bowling Green,South Florida,17.5,49.5
Delaware,Virginia,19.5,52.5
Virginia,Delaware,-19.5,52.5
James Madison,Old Dominion,-6,44.5
Old Dominion,James Madison,6,44.5
Central Michigan,Miami (FL),41.5,54.5
Miami (FL),Central Michigan,-41.5,54.5
Louisiana,Charlotte,-10,48.5
Charlotte,Louisiana,10,48.5
South Carolina,Alabama,12.5,54.5
Alabama,South Carolina,-12.5,54.5
Oklahoma State,West Virginia,1.5,61.5
West Virginia,Oklahoma State,-1.5,61.5
Kansas State,Cincinnati,-6.5,55.5
Cincinnati,Kansas State,6.5,55.5
Southern Mississippi,Tulane,18.5,52.5
Tulane,Southern Mississippi,-18.5,52.5
Middle Tennessee State,Jacksonville State,7,51.5
Jacksonville State,Middle Tennessee State,-7,51.5
Kennesaw State,Arkansas State,6.5,52.5
Arkansas State,Kennesaw State,-6.5,52.5
Texas A&M,LSU,9.5,51.5
LSU,Texas A&M,-9.5,51.5
Oregon,USC,-3,61.5
USC,Oregon,3,61.5
Appalachian State,North Carolina State,14,55.5
North Carolina State,Appalachian State,-14,55.5
Arizona,Washington State,-10.5,48.5
Washington State,Arizona,10.5,48.5
Troy,Utah State,3,47.5
Utah State,Troy,-3,47.5
Missouri,Mississippi State,6,58.5
Mississippi State,Missouri,-6,58.5
Tulsa,Arkansas,7,50.5
Arkansas,Tulsa,-7,50.5
Florida Atlantic,Louisiana-Monroe,-11.5,58.5
Louisiana-Monroe,Florida Atlantic,11.5,58.5
Missouri State,SMU,34.5,59.5
SMU,Missouri State,-34.5,59.5
Oregon State,UTEP,-10.5,55.5
UTEP,Oregon State,10.5,55.5
Massachusetts,Sacramento State,-4.5,48.5
Sacramento State,Massachusetts,4.5,48.5
Rice,Fresno State,13.5,44.5
Fresno State,Rice,-13.5,44.5
Georgia Tech,Stanford,-3.5,48.5
Stanford,Georgia Tech,3.5,48.5
Air Force,Nevada,-5.5,50.5
Nevada,Air Force,5.5,50.5
Minnesota,Washington,10,45.5
Washington,Minnesota,-10,45.5
