Team,Opp,TeamScore,OppScore,Spread,Total,spread_value,total_value,OSRS,DSRS,TSRS,PYPA,RYPA,Pts_off,Pts_def,SOS,OSRS_opp,DSRS_opp,TSRS_opp,PYPA_opp,RYPA_opp,Pts_off_opp,Pts_def_opp,SOS_opp,tsrs_diff,osrs_diff,dsrs_diff,pypa_diff,rypa_diff,pts_off_diff,pts_def_diff,sos_diff,sos_factor,sos_factor_opp,adj_off,adj_def,adj_off_opp,adj_def_opp,adj_off_diff,adj_def_diff,sos_diff_norm,term_tsrs,term_osrs,term_dsrs,term_pypa,term_rypa,term_off,term_def,term_sos,model_pred,edge,recommended_pick,confidence
akron,minnesota,7,41,23.5,47.5,23.5,47.5,3.77,-1.38,2.39,7.93,6.08,30.5,24,32.8,3.64,0.96,4.61,8.6,4.38,36,22.5,154.8,2.22,-0.13,2.34,0.67,-1.7,5.5,-1.5,122,1.64,7.74,30.91,24.41,37.935,24.435,7.025,0.025,6.1,1.332,-0.0325,0.585,0.201,-0.51,5.97125,0.02125,3.66,11.1855,-12.3145,akron +23.5,Bet Underdog
north texas,texas state,35,49,3,54.5,3,54.5,12.15,-6.69,5.47,14.73,7.32,30,29,39.5,-7.93,11.81,3.88,10.71,5.69,16.5,45,70.5,-1.59,-20.08,18.5,-4.02,-1.63,-13.5,16,31,1.975,3.525,30.49375,29.49375,17.38125,45.88125,-13.1125,16.3875,1.55,-0.954,-5.02,4.625,-1.206,-0.489,-11.145625,13.929375,0.93,-27.189,-30.189,north texas +3.0,Bet Underdog
buffalo,penn state,13,55,41.5,48.5,41.5,48.5,0.49,-11.14,-10.64,5.56,5.13,20.5,25,4,3.63,25.74,29.37,14.08,6.75,36,4.5,129.3,40.01,3.14,36.88,8.52,1.62,15.5,-20.5,125.3,0.2,6.465,20.55,25.05,37.61625,6.11625,17.06625,-18.93375,6.265,24.006,0.785,9.22,2.556,0.486,14.5063125,-16.0936875,3.759,71.412,29.912,penn state -41.5,Bet Favorite
north carolina state,vanderbilt,31,35,3,51.5,3,51.5,-4.87,3.02,-1.85,10.21,9.73,40.5,17,139.8,5.47,0.35,5.82,9.63,5.03,31.5,17.5,188.8,7.67,10.34,-2.67,-0.58,-4.7,-9,0.5,49,6.99,9.44,42.2475,18.7475,33.86,19.86,-8.3875,1.1125,2.45,4.602,2.585,-0.6675,-0.174,-1.41,-7.129375,0.945625,1.47,-1.6695,-4.6695,vanderbilt -3.0,Bet Favorite
central michigan,wyoming,24,10,-1.5,55.5,-1.5,55.5,-11.2,-1.98,-13.18,3.87,5.81,10,24,22.3,-12.2,0.35,-11.85,5.36,4.24,17,24,10.5,1.33,-1,2.33,1.49,-1.57,7,0,-11.8,1.115,0.525,10.27875,24.27875,17.13125,24.13125,6.8525,-0.1475,-0.59,0.798,-0.25,0.5825,0.447,-0.471,5.824625,-0.125375,-0.354,6.7025,8.2025,wyoming +1.5,Bet Underdog
temple,toledo,48,49,6,57.5,6,57.5,11.49,-2.74,8.76,8.59,5.22,23.5,20.5,35.8,7.99,0.37,8.36,11.19,5.85,41.5,20,14.5,-0.4,-3.5,3.11,2.6,0.63,18,-0.5,-21.3,1.79,0.725,23.9475,20.9475,41.68125,20.18125,17.73375,-0.76625,-1.065,-0.24,-0.875,0.7775,0.78,0.189,15.0736875,-0.6513125,-0.639,15.7175,9.7175,toledo -6.0,Bet Favorite
kentucky,texas a&m,31,21,16.5,50.5,16.5,50.5,10.69,-5.94,4.76,9.6,7.14,31,29,206,10.86,19.32,30.18,10.11,5.14,49,10,198,25.42,0.17,25.26,0.51,-2,18,-19,-8,10.3,9.9,33.575,31.575,51.475,12.475,17.9,-19.1,-0.4,15.252,0.0425,6.315,0.153,-0.6,15.215,-16.235,-0.24,52.3725,35.8725,texas a&m -16.5,Bet Favorite
louisville,smu,41,31,-1.5,54.5,-1.5,54.5,17.77,-15.13,2.64,13.05,6.7,48.5,27,161.8,8.3,0.49,8.79,14.78,5.14,41.5,17,149.5,6.15,-9.47,15.62,1.73,-1.56,-7,-10,-12.3,8.09,7.475,50.5225,29.0225,43.36875,18.86875,-7.15375,-10.15375,-0.615,3.69,-2.3675,3.905,0.519,-0.468,-6.0806875,-8.6306875,-0.369,7.4595,8.9595,smu +1.5,Bet Underdog
alabama,florida state,50,36,-19.5,55.5,-19.5,55.5,10.23,17.14,27.37,9.78,7.38,46.5,13.5,186.5,3.09,1.38,4.47,9.65,7,29,22,176.3,-22.9,-7.14,-15.76,-0.13,-0.38,-17.5,8.5,-10.2,9.325,8.815,48.83125,15.83125,31.20375,24.20375,-17.6275,8.3725,-0.51,-13.74,-1.785,-3.94,-0.039,-0.114,-14.983375,7.116625,-0.306,-42.024,-22.524,alabama -19.5,Bet Favorite
rutgers,usc,35,42,23.5,56.5,23.5,56.5,-3.57,-10.26,-13.83,10.11,4.54,21,32.5,157.8,19.74,6.15,25.9,13.07,6.02,43.3,18.7,175.5,39.73,23.31,16.41,2.96,1.48,22.3,-13.8,17.7,7.89,8.775,22.9725,34.4725,45.49375,20.89375,22.52125,-13.57875,0.885,23.838,5.8275,4.1025,0.888,0.444,19.1430625,-11.5419375,0.531,66.316,42.816,usc -23.5,Bet Favorite
utah,utah state,33,0,-27.5,52.5,-27.5,52.5,9.47,2.35,11.82,11.41,7.46,54.5,12,156,-9.31,-16.74,-26.04,6.45,4.16,15.5,22.5,80,-37.86,-18.78,-19.09,-4.96,-3.3,-39,10.5,-76,7.8,4,56.45,13.95,16.5,23.5,-39.95,9.55,-3.8,-22.716,-4.695,-4.7725,-1.488,-0.99,-33.9575,8.1175,-2.28,-79.0165,-51.5165,utah -27.5,Bet Favorite
cincinnati,miami (oh),35,31,-14.5,55.5,-14.5,55.5,7.5,0.66,8.16,8.72,7.82,48,12.5,168.8,5.02,-3.13,1.89,11.42,7.77,29.5,33,32,-6.27,-2.48,-3.79,2.7,-0.05,-18.5,20.5,-136.8,8.44,1.6,50.11,14.61,29.9,33.4,-20.21,18.79,-6.84,-3.762,-0.62,-0.9475,0.81,-0.015,-17.1785,15.9715,-4.104,-41.7885,-27.2885,cincinnati -14.5,Bet Favorite
michigan,utep,52,17,-35.5,54.5,-35.5,54.5,4.83,17.94,22.77,11.57,6.39,15,11,195.5,0.3,1.06,1.36,11.22,6.74,25.5,30.5,45.5,-21.41,-4.53,-16.88,-0.35,0.35,10.5,19.5,-150,9.775,2.275,17.44375,13.44375,26.06875,31.06875,8.625,17.625,-7.5,-12.846,-1.1325,-4.22,-0.105,0.105,7.33125,14.98125,-4.5,-30.3485,5.1515,michigan -35.5,Bet Favorite
indiana,western kentucky,38,0,-44.5,64.5,-44.5,64.5,3.76,14.03,17.79,15.15,7.25,53.5,8,143.5,-7.14,-29.18,-36.32,6.73,6.13,17,59.5,38.5,-54.11,-10.9,-43.21,-8.42,-1.12,-36.5,51.5,-105,7.175,1.925,55.29375,9.79375,17.48125,59.98125,-37.8125,50.1875,-5.25,-32.466,-2.725,-10.8025,-2.526,-0.336,-32.140625,42.659375,-3.15,-126.8055,-82.3055,indiana -44.5,Bet Favorite
duke,stanford,35,7,-9.5,56.5,-9.5,56.5,8.19,22.16,30.35,3.1,5.08,24,15,153.3,-1.25,-6.91,-8.16,10.21,5.43,21.5,36,180.8,-38.51,-9.44,-29.07,7.11,0.35,-2.5,21,27.5,7.665,9.04,25.91625,16.91625,23.76,38.26,-2.15625,21.34375,1.375,-23.106,-2.36,-7.2675,2.133,0.105,-1.8328125,18.1421875,0.825,-49.6455,-40.1455,duke -9.5,Bet Favorite
baylor,louisiana tech,36,19,-19.5,53.5,-19.5,53.5,1.52,8.87,10.39,7.81,5.67,30,10,162,4.69,4.46,9.16,12.71,6.99,47,25.5,39.8,-1.23,3.17,-4.41,4.9,1.32,17,15.5,-122.2,8.1,1.99,32.025,12.025,47.4975,25.9975,15.4725,13.9725,-6.11,-0.738,0.7925,-1.1025,1.47,0.396,13.151625,11.876625,-3.666,-1.573,17.927,louisiana tech +19.5,Bet Underdog
ball state,liberty,15,51,14,54.5,14,54.5,8.51,-4.71,3.8,8.34,6.87,22,36.5,30,0.8,-8.31,-7.51,9.9,4.63,18.5,21.5,-16.3,-11.31,-7.71,-3.6,1.56,-2.24,-3.5,-15,-46.3,1.5,-0.815,22.375,36.875,18.29625,21.29625,-4.07875,-15.57875,-2.315,-6.786,-1.9275,-0.9,0.468,-0.672,-3.4669375,-13.2419375,-1.389,-1.4315,-15.4315,ball state +14.0,Bet Underdog
mississippi state,south carolina,41,34,4,47.5,4,47.5,13.86,13.05,26.91,8.7,8.04,50,13,199.8,2.47,10.69,13.15,7.77,9.52,51,4.5,185.8,-13.76,-11.39,-2.36,-0.93,1.48,1,-8.5,-14,9.99,9.29,52.4975,15.4975,53.3225,6.8225,0.825,-8.675,-0.7,-8.256,-2.8475,-0.59,-0.279,0.444,0.70125,-7.37375,-0.42,-3.8735,-7.8735,mississippi state +4.0,Bet Underdog
appalachian state,charlotte,26,21,-17.5,51.5,-17.5,51.5,2.09,5.46,7.56,10.85,6.78,41,13.5,14.3,5.27,-26.63,-21.36,8.35,6.66,25,42,47.8,-28.92,3.18,-32.09,-2.5,-0.12,-16,28.5,33.5,0.715,2.39,41.17875,13.67875,25.5975,42.5975,-15.58125,28.91875,1.675,-17.352,0.795,-8.0225,-0.75,-0.036,-13.2440625,24.5809375,1.005,-62.1855,-44.6855,appalachian state -17.5,Bet Favorite
florida atlantic,florida international,16,10,-7,55.5,-7,55.5,7.86,-9.68,-1.82,7.26,4.54,29.5,48,32.3,-4.17,6.74,2.57,10.28,7.29,21,19.5,-7.5,4.39,-12.03,16.42,3.02,2.75,-8.5,-28.5,-39.8,1.615,-0.375,29.90375,48.40375,20.90625,19.40625,-8.9975,-28.9975,-1.99,2.634,-3.0075,4.105,0.906,0.825,-7.647875,-24.647875,-1.194,21.2685,28.2685,florida international +7.0,Bet Underdog
east carolina,old dominion,20,17,3,51.5,3,51.5,6.03,-4.06,1.97,10.49,7.58,17,37.5,33.3,4.13,-7.65,-3.51,10.21,5.97,26,27,31,-5.48,-1.9,-3.59,-0.28,-1.61,9,-10.5,-2.3,1.665,1.55,17.41625,37.91625,26.3875,27.3875,8.97125,-10.52875,-0.115,-3.288,-0.475,-0.8975,-0.084,-0.483,7.6255625,-8.9494375,-0.069,11.2785,8.2785,old dominion -3.0,Bet Favorite
marshall,missouri state,30,24,-4.5,49.5,-4.5,49.5,4.43,3.54,7.97,7.95,2.44,14,35.5,17.5,3.77,2.37,6.14,11.83,5.57,24,32,33.8,-1.83,-0.66,-1.17,3.88,3.13,10,-3.5,16.3,0.875,1.69,14.21875,35.71875,24.4225,32.4225,10.20375,-3.29625,0.815,-1.098,-0.165,-0.2925,1.164,0.939,8.6731875,-2.8018125,0.489,12.5115,17.0115,missouri state +4.5,Bet Underdog
auburn,florida,39,44,2.5,51.5,2.5,51.5,11.86,9.82,21.68,11.07,7.32,30,12,201,6.27,7.87,14.14,9.53,7.06,59,12,191.5,-7.54,-5.59,-1.95,-1.54,-0.26,29,0,-9.5,10.05,9.575,32.5125,14.5125,61.39375,14.39375,28.88125,-0.11875,-0.475,-4.524,-1.3975,-0.4875,-0.462,-0.078,24.5490625,-0.1009375,-0.285,17.416,14.916,florida -2.5,Bet Favorite
missouri,troy,27,17,-26.5,54.5,-26.5,54.5,13.47,-1.65,11.82,11.01,5.59,46,17.5,196.8,9.18,-2.82,6.36,8.55,5.93,29,19,14.8,-5.46,-4.29,-1.17,-2.46,0.34,-17,1.5,-182,9.84,0.74,48.46,19.96,29.185,19.185,-19.275,-0.775,-9.1,-3.276,-1.0725,-0.2925,-0.738,0.102,-16.38375,-0.65875,-5.46,-26.462,0.038,missouri -26.5,No Model Edge
georgia state,ucf,30,44,17.5,53.5,17.5,53.5,10.47,0.35,10.82,10.36,7.06,45,13.5,0,1.02,9.37,10.39,9.13,10.31,40,9,158,-0.43,-9.45,9.02,-1.23,3.25,-5,-4.5,158,0,7.9,45,13.5,41.975,10.975,-3.025,-2.525,7.9,-0.258,-2.3625,2.255,-0.369,0.975,-2.57125,-2.14625,4.74,4.5555,-12.9445,georgia state +17.5,Bet Underdog
rice,western michigan,21,28,9.5,47.5,9.5,47.5,-2.23,8.37,6.14,3.52,8.01,15.5,27.5,55.5,9.09,1.86,10.96,11,4.73,30.5,13.5,15,4.82,11.32,-6.51,7.48,-3.28,15,-14,-40.5,2.775,0.75,16.19375,28.19375,30.6875,13.6875,14.49375,-14.50625,-2.025,2.892,2.83,-1.6275,2.244,-0.984,12.3196875,-12.3303125,-1.215,28.7895,19.2895,western michigan -9.5,Bet Favorite
connecticut,southern mississippi,48,20,-3,55.5,-3,55.5,2.8,-4.65,-1.85,11.78,7.67,35,22.5,48.5,-2.48,4.37,1.89,7.57,6.4,28.5,23,27.5,3.74,-5.28,9.02,-4.21,-1.27,-6.5,0.5,-21,2.425,1.375,35.60625,23.10625,28.84375,23.34375,-6.7625,0.2375,-1.05,2.244,-1.32,2.255,-1.263,-0.381,-5.748125,0.201875,-0.63,-5.045,-2.045,connecticut -3.0,Lean Favorite
ohio,south alabama,36,41,7,41.5,7,41.5,7.96,-13.41,-5.46,8.87,3.43,25,38,0.8,12.06,-4.9,7.16,6.47,4.15,31.5,21,13.3,12.62,4.1,8.51,-2.4,0.72,6.5,-17,12.5,0.04,0.665,25.01,38.01,31.66625,21.16625,6.65625,-16.84375,0.625,7.572,1.025,2.1275,-0.72,0.216,5.6578125,-14.3171875,0.375,30.5705,23.5705,south alabama -7.0,Bet Favorite
middle tennessee state,nevada,27,20,3.5,55.5,3.5,55.5,8.89,-5.34,3.56,7.68,8.79,32,21,1,-16.98,-4.63,-21.61,4.8,6.69,28,17,17.5,-25.17,-25.87,0.71,-2.88,-2.1,-4,-4,16.5,0.05,0.875,32.0125,21.0125,28.21875,17.21875,-3.79375,-3.79375,0.825,-15.102,-6.4675,0.1775,-0.864,-0.63,-3.2246875,-3.2246875,0.495,-22.391,-25.891,middle tennessee state +3.5,Bet Underdog
lsu,ole miss,24,32,-3,51.5,-3,51.5,21.03,15.14,36.17,12.13,6.6,48,12,197.8,-4.14,10.32,6.18,9.36,4.7,41,23.5,196.3,-29.99,-25.17,-4.82,-2.77,-1.9,-7,11.5,-1.5,9.89,9.815,50.4725,14.4725,43.45375,25.95375,-7.01875,11.48125,-0.075,-17.994,-6.2925,-1.205,-0.831,-0.57,-5.9659375,9.7590625,-0.045,-42.6625,-39.6625,lsu -3.0,Bet Favorite
michigan state,notre dame,10,27,29.5,59.5,29.5,59.5,8.85,11.73,20.58,11.48,6.19,32.5,13.5,0,11.86,18.32,30.18,11.77,4.15,46.5,6.5,157.8,9.6,3.01,6.59,0.29,-2.04,14,-7,157.8,0,7.89,32.5,13.5,48.4725,8.4725,15.9725,-5.0275,7.89,5.76,0.7525,1.6475,0.087,-0.612,13.576625,-4.273375,4.734,30.219,0.719,notre dame -29.5,No Model Edge
new mexico,oklahoma,6,14,22.5,54.5,22.5,54.5,5.13,3.35,8.49,9.57,5.75,54,7,18,4.23,16.34,20.57,12.42,6.02,30.5,8.5,212.5,12.08,-0.9,12.99,2.85,0.27,-23.5,1.5,194.5,0.9,10.625,54.225,7.225,33.15625,11.15625,-21.06875,3.93125,9.725,7.248,-0.225,3.2475,0.855,0.081,-17.9084375,3.3415625,5.835,-4.2085,-26.7085,new mexico +22.5,Bet Underdog
virginia,west virginia,27,38,-10,61.5,-10,61.5,6.13,8.02,14.15,13.22,6.07,46.5,5.5,142.5,6.13,2.35,8.49,15.69,5.89,41.5,15.5,170.8,-5.66,0,-5.67,2.47,-0.18,-5,10,28.3,7.125,8.54,48.28125,7.28125,43.635,17.635,-4.64625,10.35375,1.415,-3.396,0,-1.4175,0.741,-0.054,-3.9493125,8.8006875,0.849,-16.0275,-6.0275,virginia -10.0,Bet Favorite
byu,colorado state,41,23,-17.5,56.5,-17.5,56.5,5.13,4.69,9.82,9.71,7.74,45.5,,172,16.8,-8.65,8.15,9.38,7.98,46.5,18.5,59.3,-1.67,11.67,-13.34,-0.33,0.24,1,,-112.7,8.6,2.965,47.65,,47.24125,19.24125,-0.40875,,-5.635,-1.002,2.9175,-3.335,-0.099,0.072,-0.3474375,,-3.381,,,colorado state +17.5,Bet Underdog
maryland,virginia tech,26,35,3,60.5,3,60.5,3.8,10.35,14.15,9.23,8.27,50,7,160.3,6.8,6.02,12.82,10.15,5.64,58.5,12,160.5,-1.33,3,-4.33,0.92,-2.63,8.5,5,0.2,8.015,8.025,52.00375,9.00375,60.50625,14.00625,8.5025,5.0025,0.01,-0.798,0.75,-1.0825,0.276,-0.789,7.227125,4.252125,0.006,1.3375,-1.6625,virginia tech -3.0,Lean Favorite
colorado,northwestern,7,41,3.5,50.5,3.5,50.5,8.27,-5.63,2.64,11.72,4.54,33,17,175.8,6.53,-8.38,-1.86,11.38,7.23,34,18,175.5,-4.5,-1.74,-2.75,-0.34,2.69,1,1,-0.3,8.79,8.775,35.1975,19.1975,36.19375,20.19375,0.99625,0.99625,-0.015,-2.7,-0.435,-0.6875,-0.102,0.807,0.8468125,0.8468125,-0.009,-3.1265,-6.6265,colorado +3.5,Bet Underdog
kennesaw state,tennessee,9,42,35.5,50.5,35.5,50.5,-4.2,5.69,1.49,7.61,6.78,32,15.5,0,14.77,-5.13,9.64,12.82,7.2,50.5,16.5,192.5,8.15,18.97,-10.82,5.21,0.42,18.5,1,192.5,0,9.625,32,15.5,52.90625,18.90625,20.90625,3.40625,9.625,4.89,4.7425,-2.705,1.563,0.126,17.7703125,2.8953125,5.775,29.2665,-6.2335,kennesaw state +35.5,Bet Underdog
texas,utsa,30,6,-30.5,50.5,-30.5,50.5,25.49,4.63,30.12,11.74,8.05,41.5,15,225,17.51,-9.04,8.46,8.43,8.45,38,21,51,-21.66,-7.98,-13.67,-3.31,0.4,-3.5,6,-174,11.25,2.55,44.3125,17.8125,38.6375,21.6375,-5.675,3.825,-8.7,-12.996,-1.995,-3.4175,-0.993,0.12,-4.82375,3.25125,-5.22,-32.5765,-2.0765,texas -30.5,Lean Favorite
arkansas state,tcu,7,31,20.5,50.5,20.5,50.5,-3.38,-0.96,-4.33,9.53,5.86,38,24.5,11.3,0.47,3.35,3.82,10.76,6.79,36.5,11,165.3,8.15,3.85,4.31,1.23,0.93,-1.5,-13.5,154,0.565,8.265,38.14125,24.64125,38.56625,13.06625,0.425,-11.575,7.7,4.89,0.9625,1.0775,0.369,0.279,0.36125,-9.83875,4.62,22.398,1.898,tcu -20.5,Lean Favorite
louisiana,uab,21,14,-7.5,50.5,-7.5,50.5,8.7,-2.18,6.52,10.2,6.89,34,28,4.8,0.45,6.47,6.92,2.96,4.5,24.5,31,28.5,0.4,-8.25,8.65,-7.24,-2.39,-9.5,3,23.7,0.24,1.425,34.06,28.06,24.85625,31.35625,-9.20375,3.29625,1.185,0.24,-2.0625,2.1625,-2.172,-0.717,-7.8231875,2.8018125,0.711,-12.463,-4.963,louisiana -7.5,Bet Favorite
james madison,san diego state,26,13,2.5,50.5,2.5,50.5,-5.53,8.35,2.82,11.6,7.78,53.5,8,14.3,12.29,-4.14,8.16,6.47,5.93,31.5,24,85.5,5.34,17.82,-12.49,-5.13,-1.85,-22,16,71.2,0.715,4.275,53.67875,8.17875,32.56875,25.06875,-21.11,16.89,3.56,3.204,4.455,-3.1225,-1.539,-0.555,-17.9435,14.3565,2.136,-27.7215,-30.2215,james madison +2.5,Bet Underdog
arizona,northern illinois,42,17,-33.5,50.5,-33.5,50.5,1.47,1.02,2.49,9.56,5.71,26,17.5,161.3,-4.23,-17.13,-21.36,7.57,2.33,12,34,38.8,-23.85,-5.7,-18.15,-1.99,-3.38,-14,16.5,-122.5,8.065,1.94,28.01625,19.51625,12.485,34.485,-15.53125,14.96875,-6.125,-14.31,-1.425,-4.5375,-0.597,-1.014,-13.2015625,12.7234375,-3.675,-51.4835,-17.9835,arizona -33.5,Bet Favorite
purdue,ucla,38,52,14,50.5,14,50.5,18.27,-8.38,9.89,10.17,4.66,40,28.5,189.5,7.83,20.34,28.17,10.29,7.76,36.5,17,165.8,18.28,-10.44,28.72,0.12,3.1,-3.5,-11.5,-23.7,9.475,8.29,42.36875,30.86875,38.5725,19.0725,-3.79625,-11.79625,-1.185,10.968,-2.61,7.18,0.036,0.93,-3.2268125,-10.0268125,-0.711,22.593,8.593,ucla -14.0,Bet Favorite
fresno state,san jose state,26,10,-6.5,50.5,-6.5,50.5,-7.42,16.95,9.53,11.49,5.82,24.5,21,0,6.33,-3.73,2.61,9.12,6.1,27.7,27.7,25,-6.92,13.75,-20.68,-2.37,0.28,3.2,6.7,25,0,1.25,24.5,21,28.0125,28.0125,3.5125,7.0125,1.25,-4.152,3.4375,-5.17,-0.711,0.084,2.985625,5.960625,0.75,-8.7365,-2.2365,fresno state -6.5,Lean Favorite
