Team,Opp,TeamScore,OppScore,Spread,Total,spread_value,total_value,OSRS,DSRS,TSRS,PYPA,RYPA,Pts_off,Pts_def,SOS,OSRS_opp,DSRS_opp,TSRS_opp,PYPA_opp,RYPA_opp,Pts_off_opp,Pts_def_opp,SOS_opp,tsrs_diff,osrs_diff,dsrs_diff,pypa_diff,rypa_diff,pts_off_diff,pts_def_diff,sos_diff,sos_factor,sos_factor_opp,adj_off,adj_def,adj_off_opp,adj_def_opp,adj_off_diff,adj_def_diff,sos_diff_norm,term_tsrs,term_osrs,term_dsrs,term_pypa,term_rypa,term_off,term_def,term_sos,model_pred,edge,recommended_pick,confidence
miami (fl),wake forest,33,20,-21,55.5,-21,55.5,2.16,8.84,10.99,15.96,9.55,61,6.5,141.5,13.36,7.32,20.68,9.38,7.21,38,26,156,9.69,11.2,-1.52,-6.58,-2.34,-23,19.5,14.5,7.075,7.8,62.76875,8.26875,39.95,27.95,-22.81875,19.68125,0.725,5.814,2.8,-0.38,-1.974,-0.702,-19.3959375,16.7290625,0.435,-30.132,-9.132,miami (fl) -21.0,Bet Favorite
houston,texas tech,26,28,7.5,51.5,7.5,51.5,2.77,3.62,6.39,10.72,8.3,55,13,156,5.27,-0.38,4.89,8.55,4.95,34,17,143.5,-1.5,2.5,-4,-2.17,-3.35,-21,4,-12.5,7.8,7.175,56.95,14.95,35.79375,18.79375,-21.15625,3.84375,-0.625,-0.9,0.625,-1,-0.651,-1.005,-17.9828125,3.2671875,-0.375,-24.556,-32.056,houston +7.5,Bet Underdog
coastal carolina,delaware,14,22,4.5,50.5,4.5,50.5,3.8,0.02,3.82,9.41,5.44,34.5,19,28.5,3.8,-2.31,1.49,10.01,4.14,34,21,18,-2.33,0,-2.33,0.6,-1.3,-0.5,2,-10.5,1.425,0.9,34.85625,19.35625,34.225,21.225,-0.63125,1.86875,-0.525,-1.398,0,-0.5825,0.18,-0.39,-0.5365625,1.5884375,-0.315,-4.6305,-9.1305,coastal carolina +4.5,Bet Underdog
arkansas,georgia,17,45,24.5,44.5,24.5,44.5,-3.2,-3.31,-6.51,7.75,3.31,20.5,28.5,222.3,-3.98,0.87,-3.11,9.61,8.29,66.5,11.5,182,3.4,-0.78,4.18,1.86,4.98,46,-17,-40.3,11.115,9.1,23.27875,31.27875,68.775,13.775,45.49625,-17.50375,-2.015,2.04,-0.195,1.045,0.558,1.494,38.6718125,-14.8781875,-1.209,57.283,32.783,georgia -24.5,Bet Favorite
clemson,north carolina,28,20,-3.5,59.5,-3.5,59.5,5.03,10.14,15.17,10.74,8.83,16,29,168,-1.2,9.69,8.49,9.63,6.27,25,6.5,187.3,-6.68,-6.23,-0.45,-1.11,-2.56,9,-22.5,19.3,8.4,9.365,18.1,31.1,27.34125,8.84125,9.24125,-22.25875,0.965,-4.008,-1.5575,-0.1125,-0.333,-0.768,7.8550625,-18.9199375,0.579,20.575,24.075,north carolina +3.5,Bet Underdog
arizona state,kansas,24,17,-5.5,49.5,-5.5,49.5,10.27,-4.13,6.14,13.3,7.49,45,27.5,173.3,-0.2,0.69,0.49,11.36,5.32,36,22,165.8,-5.65,-10.47,4.82,-1.94,-2.17,-9,-5.5,-7.5,8.665,8.29,47.16625,29.66625,38.0725,24.0725,-9.09375,-5.59375,-0.375,-3.39,-2.6175,1.205,-0.582,-0.651,-7.7296875,-4.7546875,-0.225,-9.2355,-3.7355,arizona state -5.5,Bet Favorite
kent state,ohio state,3,59,52.5,51.5,52.5,51.5,-1.53,-2.31,-3.85,8.4,5.79,18,36,40.5,2.74,22.81,25.55,14.36,5.04,39.5,13.5,185.5,29.4,4.27,25.12,5.96,-0.75,21.5,-22.5,145,2.025,9.275,18.50625,36.50625,41.81875,15.81875,23.3125,-20.6875,7.25,17.64,1.0675,6.28,1.788,-0.225,19.815625,-17.584375,4.35,68.3005,15.8005,ohio state -52.5,Bet Favorite
bowling green,iowa state,7,55,23.5,49.5,23.5,49.5,-11.66,-6.73,-18.39,9.54,2.5,10,38,34,7.27,-4.63,2.64,10.51,4.33,25.5,13,165.5,21.03,18.93,2.1,0.97,1.83,15.5,-25,131.5,1.7,8.275,10.425,38.425,27.56875,15.06875,17.14375,-23.35625,6.575,12.618,4.7325,0.525,0.291,0.549,14.5721875,-19.8528125,3.945,57.0855,33.5855,iowa state -23.5,Bet Favorite
eastern michigan,wisconsin,10,54,23.5,56.5,23.5,56.5,-2.08,0.88,-1.21,7.78,4.8,18.7,26.3,24.8,7.27,-1.13,6.14,6.71,7.78,24.5,25,159.5,7.35,9.35,-2.01,-1.07,2.98,5.8,-1.3,134.7,1.24,7.975,19.01,26.61,26.49375,26.99375,7.48375,0.38375,6.735,4.41,2.3375,-0.5025,-0.321,0.894,6.3611875,0.3261875,4.041,16.894,-6.606,eastern michigan +23.5,Bet Underdog
kansas state,tulane,31,20,-20.5,49.5,-20.5,49.5,-3.11,5.46,2.36,8.38,6.92,52.5,5,150,3.36,12.09,15.45,8.64,7.67,15.5,20.5,60.3,13.09,6.47,6.63,0.26,0.75,-37,15.5,-89.7,7.5,3.015,54.375,6.875,16.25375,21.25375,-38.12125,14.37875,-4.485,7.854,1.6175,1.6575,0.078,0.225,-32.4030625,12.2219375,-2.691,-35.884,-15.384,kansas state -20.5,Bet Favorite
