Team,Opp,Spread,Total
North Carolina,Texas Christian,8.5,46.5
Texas Christian,North Carolina,-8.5,46.5
San Jose State,USC,38.5,61.5
USC,San Jose State,-38.5,61.5
North Carolina State,Virginia,4,51.5
Virginia,North Carolina State,-4,51.5
Hawaii,Stanford,4,48.5
Stanford,Hawaii,-4,48.5
New Mexico State,Florida State,31.5,53.5
Florida State,New Mexico State,-31.5,53.5
Memphis,Nevada-Las Vegas,4,56.5
Nevada-Las Vegas,Memphis,-4,56.5
