Team,Opp,Spread,Total
North Carolina,Texas Christian,7.5,47.5
Texas Christian,North Carolina,-7.5,47.5
San Jose State,USC,38.5,59.5
USC,San Jose State,-38.5,59.5
North Carolina State,Virginia,5.5,53.5
Virginia,North Carolina State,-5.5,53.5
Hawaii,Stanford,5.5,49.5
Stanford,Hawaii,-5.5,49.5
New Mexico State,Florida State,31.5,53.5
Florida State,New Mexico State,-31.5,53.5
Memphis,Nevada-Las Vegas,5.5,57.5
Nevada-Las Vegas,Memphis,-5.5,57.5
