Rk_off,School,Pts_off,Cmp_off,PAtt,Pct_off,PYds,PTD_off,Ratt_off,Ryds_off,Avg_off,RTD_off,Plays_off,Yds_off,Avg.1_off,PFD_off,RFD_off,Rk_def,Pts_def,Cmp_def,Patt,Pct_def,Pyds,PTD_def,Ratt_def,Ryds_def,Avg_def,RTD_def,Plays_def,Yds_def,Avg.1_def,PFD_def,RFD_def,Rk,W,L,OSRS,DSRS,TSRS,Off,PYPA,RYPA
21,ohio state,33.4,22.4,29.1,76.7,268.2,2.4,33.9,154.4,4.5,1.8,63.1,422.6,6.7,12.9,8.6,1,9.3,14.9,24.4,60.8,129.7,0.5,30.4,89.4,2.9,0.4,54.8,219.1,4,6.3,5.4,2,12,2,5.96,17.12,23.08,55.64,11.32,6.28
22,florida state,33,16.7,28.3,59,253.4,1.7,42.2,218.7,5.2,2.6,70.4,472.1,6.7,9.7,12.7,43,22,16.9,27.2,62.3,190.8,1.7,38.4,138.1,3.6,1,65.6,328.8,5,8.5,8.3,45,5,7,2.8,3.46,6.26,52.73,11.03,7.19
23,arkansas,32.9,19.3,31.8,60.6,262.9,1.8,33.8,191.9,5.7,2.1,65.5,454.8,6.9,10.9,10.7,129,33.8,17.8,28.3,62.8,239.3,1.8,39.6,185.9,4.7,2,67.8,425.2,6.3,10.4,10.6,65,2,10,7.75,-5.57,2.18,53.47,10.42,7.67
24,east carolina,32.7,21.9,33.8,64.8,272.7,1.7,43,176.3,4.1,2.4,76.8,449,5.8,11.6,9.9,25,20.1,22.2,34.9,63.4,230.8,1.2,33.5,120.2,3.6,0.8,68.4,351,5.1,10.2,7.4,40,9,4,1.46,5.52,6.98,46.52,9.45,5.47
25,memphis,32.5,21.4,31.7,67.5,228.4,1.3,36.3,183.2,5,2.6,68,411.6,6.1,10.1,10.8,52,23.2,18.3,30.2,60.7,227.2,1.2,35.4,131,3.7,1.7,65.5,358.2,5.5,10.5,6.8,50,8,5,3.82,0.97,4.79,45.07,8.12,6.39
26,georgia tech,32.2,21.2,30.3,69.8,262.5,1.2,35.6,197.5,5.5,2.4,65.9,460,7,11,10.5,69,25,19.5,31.4,62.3,235.2,1.5,35.8,164,4.6,1.6,67.2,399.2,5.9,10.8,8.5,34,9,4,7.24,1.23,8.47,49.58,10.46,7.13
27,smu,32.2,23.5,35.4,66.3,283.1,2,30.9,133.9,4.3,1.9,66.3,417,6.3,11.3,7.4,32,20.5,24.5,40.2,60.9,283.2,2,35.1,111.9,3.2,0.4,75.2,395.1,5.3,12.7,6.8,21,9,4,7.02,4.05,11.07,49.87,10.1,5.86
28,georgia,32.1,20.5,29.8,68.8,220.2,1.8,41.4,182.1,4.4,2.2,71.2,402.4,5.6,11,10.6,10,17.6,19.9,32.8,60.8,216.5,1,27.7,81.5,2.9,1,60.5,298,4.9,9.4,5,9,12,2,7.53,9.79,17.33,51.17,9.13,6.19
29,old dominion,32,14.7,25.5,57.5,216.4,1.6,42.6,238.3,5.6,2.4,68.2,454.7,6.7,9.2,11.3,14,18.5,19,31.5,60.4,191.5,1.2,38.2,140.1,3.7,1,69.6,331.5,4.8,8.2,7.4,41,10,3,0.96,5.91,6.87,44.26,9.64,6.85
30,arizona,31.5,21.6,34.3,63,255.2,2.2,35.6,152.4,4.3,1.5,69.9,407.6,5.8,11.2,8.6,21,19.3,16,29.6,54,165.3,0.7,36.4,143.2,3.9,1.5,66,308.5,4.7,7.5,7.5,20,9,4,4.02,7.24,11.27,49.02,9.09,5.83
31,navy,31.5,8.2,14,58.2,130,0.9,49.6,285.6,5.8,3.2,63.6,415.6,6.5,5,14.4,70,25,18.4,28.6,64.2,230,1.6,34.8,141.3,4.1,1.5,63.4,371.3,5.9,10.2,7.4,46,11,2,4.09,2,6.09,44.54,10.47,6.97
33,baylor,31.1,25.8,42.6,60.5,309.6,2.6,34.2,141.5,4.1,1,76.8,451.1,5.9,13.2,9.1,122,32.6,17.8,28.7,62.2,194.9,1.4,40.3,197.3,4.9,2.5,68.9,392.2,5.7,9.1,10.6,62,5,7,8.19,-5.96,2.23,50.36,9.14,6.02
34,penn state,31,17.4,26.1,66.7,187.6,1.2,36.5,174.4,4.8,2.3,62.6,362,5.8,8.9,10,31,20.5,17.7,28.2,62.8,184.2,1.2,35.2,142.5,4.1,1.2,63.3,326.8,5.2,7.9,8.2,26,7,6,6.18,3.94,10.12,51.99,9.41,6.23
35,miami (fl),30.9,22.2,30.9,71.7,253.2,2,35.4,151.8,4.3,1.8,66.4,405,6.1,11.7,8.8,5,14.8,19.5,32.6,59.9,204.9,0.8,30.3,89.3,3,0.8,62.8,294.1,4.7,9.3,5.9,6,13,3,6.76,13.72,20.48,53.08,10.52,6.31
36,utah state,30.9,18.6,31,60,247,2,34.5,162.5,4.7,1.9,65.5,409.5,6.2,10.3,7.8,90,28.7,21.7,36.8,58.9,258.8,2,37.5,181.2,4.8,1.5,74.4,440.1,5.9,12.1,9.2,86,6,7,2.02,-4.78,-2.75,45.11,9.44,5.89
37,marshall,30.8,18.2,27.9,65.1,207.9,1.5,41.8,197,4.7,1.9,69.7,404.9,5.8,10.2,9.6,109,30.3,17.9,30.7,58.4,261.7,2,38.3,148.9,3.9,1.8,68.9,410.6,6,10.8,7.2,92,5,7,2.86,-6.91,-4.05,41.66,8.47,5.87
38,toledo,30.8,19.7,30.7,64.2,238.1,2.1,36.3,177.2,4.9,1.7,67,415.2,6.2,11.2,8.7,4,13.3,13.6,27.2,50.1,158,0.8,35.9,96.3,2.7,0.8,63.1,254.3,4,6.2,6.3,54,8,5,-1.85,5.62,3.78,44.29,9.15,5.99
39,virginia,30.8,22.5,35.1,64,239.1,1.3,39.1,178.7,4.6,2.1,74.3,417.9,5.6,10.8,9.6,22,19.6,17.5,29.4,59.5,195.6,1.1,33.2,113.9,3.4,1.2,62.6,309.5,4.9,8.3,6.4,23,11,3,5.07,5.94,11.01,47.89,8.67,6.21
41,texas,30.5,19.8,32.4,61.3,250.7,2.2,32.8,137.8,4.2,1.3,65.2,388.5,6,10.2,7.5,28,20.3,22.4,35.8,62.6,234.9,1.4,33.1,103.9,3.1,1,68.8,338.8,4.9,10.8,6.4,18,10,3,5.2,7.28,12.48,50.69,9.62,6.13
42,mississippi state,30.4,18.7,29.9,62.5,241.2,1.5,42.2,158,3.7,2.2,72.2,399.2,5.5,9.4,10.1,106,30.2,18.4,30.5,60.4,223,1.8,38.2,186.3,4.9,1.5,68.7,409.3,6,9.4,9.6,67,5,8,4.89,-3.05,1.84,50.13,10.23,5.58
