Rk_off,School,Pts_off,Cmp_off,PAtt,Pct_off,PYds,PTD_off,Ratt_off,Ryds_off,Avg_off,RTD_off,Plays_off,Yds_off,Avg.1_off,PFD_off,RFD_off,Rk_def,Pts_def,Cmp_def,Patt,Pct_def,Pyds,PTD_def,Ratt_def,Ryds_def,Avg_def,RTD_def,Plays_def,Yds_def,Avg.1_def,PFD_def,RFD_def,Rk,W,L,OSRS,DSRS,TSRS,Off,PYPA,RYPA
90,ucf,24.3,20.8,33.6,62,220.8,1,32.3,158,4.9,1.6,65.9,378.8,5.7,8.8,8,57,23.6,17.7,27.9,63.3,185.1,1.1,38.3,150.7,3.9,1.5,66.3,335.8,5.1,7.8,9.8,72,5,7,-3.6,3.48,-0.12,41.42,8.19,6.69
91,appalachian state,24.2,23,39.1,58.9,256.6,1.8,31.8,127.6,4,0.9,70.8,384.2,5.4,12.4,6.8,101,29.8,22.8,36.1,63.1,267.9,1.7,36.1,148.7,4.1,1.8,72.2,416.6,5.8,12.9,7.5,113,5,8,-3.41,-5.79,-9.21,34.48,7.57,4.96
92,eastern michigan,24.1,20.6,33.7,61.1,234.8,1.5,32.5,142.5,4.4,1.3,66.2,377.3,5.7,10.1,8.2,103,29.8,14.8,24.6,60.3,184.2,1.3,42.1,232.1,5.5,2.4,66.7,416.3,6.2,8.2,11,126,4,8,-2.86,-10.23,-13.08,36.53,8.08,5.47
93,buffalo,24,19.6,34.3,57,229,1.6,34.4,132.3,3.8,1.3,68.8,361.3,5.3,10,8.3,54,23.5,15.9,28.8,55.4,186.4,1.4,41.6,157.2,3.8,1.3,70.3,343.6,4.9,8.2,8.8,116,5,7,-5.39,-4.69,-10.08,33.92,7.51,4.6
94,army,23.8,5.2,9.8,53.5,80.8,0.5,57.5,254.9,4.4,2.4,67.3,335.8,5,3.2,14.3,39,21.6,17.5,27.6,63.5,190.4,1.2,34.1,153.2,4.5,1.4,61.7,343.5,5.6,9.5,8.5,74,7,6,-3.12,2.76,-0.36,35.95,9.27,5.5
95,maryland,23.5,23.7,40.9,57.8,255.7,1.5,25.4,104.3,4.1,0.8,66.3,360,5.4,11.6,5.4,77,26.5,20.2,31.9,63.2,226.5,2.1,39.9,175.6,4.4,1.1,71.8,402.1,5.6,10.5,9.8,77,4,8,-0.68,-0.23,-0.91,42.27,8.28,5.47
96,miami (oh),23.5,13.1,26.5,49.3,187.3,1.2,35.4,150.3,4.2,1.2,61.9,337.6,5.5,8.1,8,41,21.7,17.6,31.2,56.5,200.4,1.6,35.9,134.3,3.7,0.9,67.1,334.6,5,9.6,7.4,96,7,7,-3.65,-1.4,-5.05,37.52,8.36,5.11
97,troy,23.5,17.9,31,57.8,209.2,1.4,35.1,98,2.8,1.2,66.1,307.2,4.6,9.9,6.1,58,23.9,16.8,27.9,60.3,196.2,1.1,38.9,176.8,4.5,1.6,66.8,373,5.6,8.7,8.6,91,8,6,-3.7,-0.32,-4.02,35.42,7.83,4.05
98,northwestern,23.4,17.2,29.1,59.3,185.9,1.3,34.8,160.2,4.6,1.2,63.8,346.1,5.4,8.6,8.8,24,19.8,17.2,26.7,64.3,193.5,1,31.7,136.2,4.3,1.4,58.4,329.8,5.6,9.2,7,48,7,6,0.2,4.93,5.13,42.56,8.42,6.12
99,utep,23.3,18.7,34.3,54.5,216.3,1.8,31.3,115.6,3.7,1.2,65.5,331.8,5.1,8.2,6.3,111,30.4,19.6,31.7,61.8,221.8,1.6,41.3,169.5,4.1,1.4,73,391.3,5.4,10.5,8.2,131,2,10,-5.17,-9.46,-14.63,33.44,7.28,4.46
100,tulsa,23.2,20.1,34.1,58.9,222.4,1.3,40.8,175.5,4.3,1.5,74.8,397.9,5.3,9.8,10,94,28.9,18.3,28.9,63.4,214.3,1.8,42.5,182.4,4.3,1.8,71.4,396.7,5.6,9.3,10.3,114,4,8,-3.45,-5.77,-9.22,36.16,7.44,5.59
101,kentucky,23,19.1,30.7,62.2,201.9,1.3,36,139.2,3.9,1.6,66.7,341.1,5.1,9.8,8.2,75,26.4,18.4,29.8,61.7,239.9,1.3,36.7,134.3,3.7,1.7,66.5,374.2,5.6,10.3,8.4,66,5,7,-0.65,2.71,2.06,43.39,8.52,5.83
102,minnesota,23,19.3,30.7,62.9,189.9,1.5,28.9,103.2,3.6,1.2,59.6,293.2,4.9,8.7,6.2,50,22.9,19.1,28.5,67,210.5,1.2,32.5,121.1,3.7,1.2,61,331.6,5.4,9.2,7.6,60,8,5,-1.9,4.76,2.86,43.39,8.22,5.03
103,lsu,22.8,22.4,34.1,65.7,229.5,1.5,29.1,104,3.6,0.8,63.2,333.5,5.3,10.9,5.5,23,19.8,19,31.8,59.7,204.6,1.1,33.3,124.1,3.7,1.2,65.2,328.7,5,9.2,7.2,39,7,6,-0.44,7.45,7,43.32,8.7,5.27
104,south carolina,22.7,17.4,28.5,61.1,225.3,1.1,34.3,111.1,3.2,1.2,62.8,336.3,5.4,8.3,7.6,44,22.1,18.8,31.1,60.3,216.3,1.1,36.1,136.7,3.8,1.1,67.2,353,5.3,10.3,7.6,52,4,8,-0.62,4.54,3.92,43.64,10.12,5.21
105,central michigan,22.5,13.5,19.6,69,167.1,1.2,41.9,163.5,3.9,1.3,61.5,330.5,5.4,6.3,9.2,55,23.5,18.3,31.5,58,209.4,1.4,34.2,145.7,4.3,1.4,65.8,355.1,5.4,9.3,8.1,102,7,6,-5.87,0.03,-5.84,34.83,9.74,5.13
106,washington state,22.5,20.2,31.5,64.1,210.5,1.5,33.8,128.2,3.8,1.2,65.3,338.7,5.2,10,7.5,27,20.2,17.2,27.1,63.6,174.4,1.2,33,125.2,3.8,1.2,60.1,299.5,5,7.5,7.7,51,7,6,-1.74,6.51,4.78,39.01,8.53,5.13
107,middle tennessee state,22.4,24.8,41.7,59.6,266.1,1.9,26.3,105.5,4,0.9,68,371.6,5.5,12,5.7,115,30.9,20.1,31.2,64.4,256.2,2.6,36.7,143.1,3.9,1.4,67.8,399.3,5.9,11.3,8.1,133,3,9,-5.62,-10.66,-16.28,32.42,7.11,4.78
108,akron,22.3,17.4,33.7,51.7,219,1.7,36.2,134.5,3.7,0.8,69.8,353.5,5.1,10.6,7.5,84,27.4,17.8,29.6,60.3,229.2,1.7,36.3,155.3,4.3,1.5,65.8,384.4,5.8,9.5,8.5,124,5,7,-8.31,-4.36,-12.67,33.17,7.6,4.75
109,coastal carolina,22.2,16.8,30.7,54.6,169.5,1.2,36.4,155.8,4.3,1.2,67.1,325.4,4.9,7.5,8.2,125,33.1,19.8,31.8,62.3,235.8,1.9,40.8,208,5.1,1.8,72.6,443.8,6.1,9.8,10.5,107,6,7,-3.96,-3.06,-7.02,35.41,6.7,5.62
110,west virginia,21.8,16,27.3,58.7,188.9,0.8,43.6,160.6,3.7,1.8,70.8,349.5,4.9,7.2,9.6,114,30.8,21.1,32.5,64.9,265.4,2.3,39.9,143.8,3.6,1.3,72.4,409.2,5.7,11,8.2,81,4,8,-1.99,0.69,-1.29,41.5,8.89,5.53
111,florida,21.6,19.5,31.2,62.6,204.6,1.5,32,136.8,4.3,0.8,63.2,341.3,5.4,9.2,8,60,24,17.8,27.9,63.9,222.9,1.1,38.6,153.9,4,1.8,66.5,376.8,5.7,10.5,8,53,4,8,-1.7,5.49,3.79,43.45,8.84,6.33
112,new mexico state,21.6,23,39.3,58.5,250.7,1.4,29.8,77.3,2.6,0.8,69.1,327.9,4.7,11.8,5.5,88,27.6,21.7,34,63.7,236.8,2.1,37.6,165,4.4,1.2,71.6,401.8,5.6,11.5,8.3,121,4,8,-8.02,-4.39,-12.4,31.27,7.31,3.32
113,san jose state,21.4,22.8,40.8,55.7,282.6,1.4,26.4,119.7,4.5,1.2,67.3,402.3,6,11.8,6.5,121,32.5,18.8,28.8,65.5,245.3,1.5,39.1,157.9,4,2.1,67.8,403.2,5.9,10.3,8.8,125,3,9,-3.53,-9.5,-13.03,36.8,8.55,5.81
114,virginia tech,21.4,15,26.7,56.3,166.3,1.4,37.2,182.4,4.9,1.1,63.8,348.8,5.5,7.1,10.1,107,30.2,19.5,29,67.2,224.8,1.5,35.6,153.3,4.3,2.1,64.6,378.1,5.9,10.6,8.3,87,3,9,-0.42,-2.36,-2.78,42.18,8.38,6.77
115,kent state,21.3,13.6,24.4,55.6,197.1,1.7,33.3,97.3,2.9,0.8,57.7,294.3,5.1,7.3,5.6,128,33.6,19.3,32.4,59.6,236,2.1,41.2,191.4,4.6,1.8,73.6,427.4,5.8,10.8,10.8,120,5,7,-4.08,-7.83,-11.91,35.77,9.49,4.39
116,colorado,20.9,17.5,29.8,58.7,202.8,1.4,35.8,125.6,3.5,1.3,65.7,328.4,5,8.1,7.3,112,30.5,14.9,26.9,55.4,203.2,1.5,42.4,222.5,5.2,2.1,69.3,425.7,6.1,9.1,10.6,80,3,9,-1.67,0.52,-1.15,41.07,8.86,5.2
117,bowling green,20.5,13.8,23.8,58,151.3,1.1,39.3,155.5,4,1.1,63.2,306.8,4.9,6.8,8.5,63,24.3,15.8,26.8,58.9,201.7,1.3,34.3,141.4,4.1,1.4,61,343.1,5.6,7.8,7.6,122,4,8,-8.22,-4.28,-12.5,31.4,7.46,4.86
118,syracuse,20.2,19.3,34.1,56.5,217.3,1.4,36.3,123.2,3.4,1,70.3,340.4,4.8,9.6,8.1,130,34.9,21.6,32.6,66.2,252.8,1.9,33.2,174.9,5.3,2,65.8,427.7,6.5,10.8,9.1,104,3,9,-5.1,-1.46,-6.56,38.84,8.23,5.13
119,georgia state,19.8,24,39.6,60.6,254.1,1.8,30.5,124.1,4.1,0.8,70.1,378.2,5.4,11.5,6.4,133,37.8,18.3,28.3,64.4,240.8,2.1,41.5,208.1,5,2.6,69.8,448.8,6.4,10.2,11,128,1,11,-6.53,-7.24,-13.77,33.06,7.64,5.38
120,north carolina,19.3,18.9,29.6,63.9,183.5,1.1,28.8,105.3,3.7,0.9,58.4,288.8,4.9,8.7,6,66,24.5,20.4,32.1,63.6,211.3,1.3,36.1,125.7,3.5,1.6,68.2,336.9,4.9,10.1,8.3,100,4,8,-6.28,0.7,-5.59,35.57,7.91,5.19
121,rice,19.1,11.4,17.2,66.1,97.6,0.8,49.8,204.8,4.1,1.5,67,302.4,4.5,4.8,11,124,32.9,17.8,28.8,61.6,240.2,1.9,35.2,163.7,4.6,2,64.1,403.8,6.3,9.4,8.7,115,5,8,-9.17,-0.82,-9.99,30.15,6.67,5.24
122,purdue,18.8,19.8,33.8,58.8,217.2,1.3,31.3,126.4,4,0.9,65.1,343.6,5.3,10.7,6.9,117,31.8,16.8,26,64.7,241.7,1.3,38.4,181.8,4.7,2.4,64.4,423.5,6.6,10.1,9.8,85,2,10,-1.61,-0.96,-2.58,41.36,8.74,5.74
123,stanford,18.8,18.7,32.6,57.3,222,1.2,32.7,84.5,2.6,0.7,65.3,306.5,4.7,9.6,6,97,29.2,24.5,37.1,66.1,288.9,1.8,31.8,119.3,3.8,1.4,68.8,408.2,5.9,12.9,6.3,88,4,8,-3,0.16,-2.84,39.58,8.93,4.58
124,colorado state,18.5,20.3,32.8,61.7,215.9,1.3,30.3,108.3,3.6,1.1,63.1,324.2,5.1,9.5,6.7,113,30.8,17.1,27.1,63.1,221.1,1.5,40.9,204.9,5,2.5,68,426,6.3,9.8,9.6,123,2,10,-6.47,-6.15,-12.63,34.52,8.4,4.75
125,oregon state,18.2,21.7,35.9,60.3,225.8,1.2,34,123.9,3.6,1.3,69.9,349.8,5,10.3,7.9,99,29.4,16.5,29,56.9,222.4,1.8,34.2,157.4,4.6,1.4,63.2,379.8,6,9.3,7.9,118,2,10,-5.68,-4.83,-10.51,35.12,8.26,5.2
126,ucla,18.2,19.1,30.2,63.3,180.3,1.3,31.3,139.7,4.5,0.7,61.4,319.9,5.2,8.7,7.2,127,33.4,17.9,27.2,66,196.6,1.9,36.7,190.4,5.2,2.2,63.8,387,6.1,8.8,11.2,79,3,9,-2.26,1.25,-1.01,41.73,8.42,6.21
127,sam houston,17.8,17.8,32.4,54.8,184.1,1,30.9,131.9,4.3,0.8,63.3,316,5,8.8,5.9,134,37.8,21.8,30.9,70.4,275.9,1.7,38.5,207.7,5.4,2.8,69.4,483.6,7,12.3,10,135,2,10,-10.62,-9.31,-19.94,29.2,6.79,5.18
128,nevada,17.6,15.1,25.5,59.2,148.7,0.8,34.9,153.5,4.4,0.8,60.4,302.2,5,7.3,8,87,27.5,19.3,29.7,64.9,220.3,1,35.8,149.6,4.2,2,65.4,369.8,5.7,9.8,8.4,127,3,9,-10.66,-2.88,-13.55,31.66,7.54,5.37
129,northern illinois,17.1,10.8,20.3,52.9,98.8,0.7,41.8,187.1,4.5,1.3,62.1,285.9,4.6,4.6,9.5,64,24.3,15.7,26.4,59.3,173.9,0.9,39.9,183.3,4.6,1.8,66.3,357.3,5.4,8.6,9.8,129,3,9,-11.39,-2.86,-14.25,29.36,6.11,5.48
130,louisiana-monroe,16.6,14.3,25.3,56.8,160.4,1.3,35.8,163.1,4.6,1,61.1,323.5,5.3,8,7.9,119,31.9,18.7,29.5,63.3,222.3,1.8,37.9,162.6,4.3,1.9,67.4,384.8,5.7,10.3,7.8,130,3,9,-10.92,-3.45,-14.36,28.97,7.57,5.64
131,wyoming,16,17.9,32.1,55.8,183,1.1,32.5,131.7,4.1,0.8,64.6,314.7,4.9,8.3,7.4,33,20.5,16,28.8,55.5,175.5,1.3,36.9,168.8,4.6,1.1,65.8,344.3,5.2,7.8,8.9,117,4,8,-11.59,1.5,-10.09,28.59,6.89,4.87
132,ball state,15.8,13.1,23.2,56.5,139.9,1,37.7,131.8,3.5,0.8,60.8,271.7,4.5,6.3,6.4,102,29.8,18.3,29.5,61.9,226.8,1.9,37.8,178.8,4.7,1.8,67.3,405.7,6,10.7,9,132,4,8,-10.5,-5.31,-15.8,28.91,7.18,4.57
133,charlotte,14.3,18.8,31.7,59.2,204,1.2,30.3,81.8,2.7,0.4,62,285.8,4.6,8.9,5.3,131,36.3,22.8,33.5,68.2,271.7,2,40.3,200.3,5,2.5,73.8,471.9,6.4,13.1,11.3,134,1,11,-10.28,-8.16,-18.45,29.92,8.04,4.14
134,oklahoma state,14.2,17.5,30.5,57.4,174.1,0.6,33.7,118.3,3.5,0.8,64.2,292.4,4.6,7.9,6.3,126,33.3,18.6,28.3,65.6,252.4,2.3,38.2,165.9,4.3,1.5,66.5,418.3,6.3,10.7,8.6,111,1,11,-9.03,0.03,-9,33.18,7.82,5.28
135,wisconsin,12.8,13.1,22.7,57.7,136.4,0.8,35.3,116.7,3.3,0.8,57.9,253.1,4.4,6.5,6.9,40,21.6,20,28.7,69.8,218.3,1.6,31,105.3,3.4,1,59.7,323.5,5.4,9.6,6.8,63,4,8,-6.46,8.69,2.23,37.67,8.71,5.46
136,massachusetts,11.1,18.6,34.6,53.7,165.1,0.7,29.3,82.4,2.8,0.5,63.9,247.5,3.9,7.8,5.7,136,38.6,16.7,24.8,67.3,212.5,2.4,43.9,221.3,5,2.5,68.7,433.8,6.3,10.3,11.3,136,0,12,-14.94,-11.61,-26.55,25.03,6.25,3.91
